point,H [m],sigma 95% [mm]
9,37.455,0.62
10,37.559,0.62
13,34.850,0.62
14,34.798,0.62
17,35.717,1.32
20,40.169,0.88
21,42.871,1.06
22,42.796,1.06
23,46.217,0.79
24,45.619,0.62
25,45.090,0.62
26,45.278,0.62
27,45.357,0.62
30,40.633,1.24
31,37.780,0.79
32,37.923,0.79
33,37.862,0.62
34,35.679,0.62
35,35.546,0.62
36,35.729,0.62
37,35.624,0.79
49,35.449,0.62
50,35.387,0.62
51,35.322,0.62
52,34.522,0.79
57,38.952,0.62
58,38.188,0.79
72,46.451,0.84
74,42.620,1.46
75,44.430,1.24
82,36.634,0.79
83,36.507,0.62
84,37.547,0.79
85,36.533,0.62
104,34.484,0.79
106,34.305,0.62
107,36.211,0.88
108,36.255,0.79
110,34.267,0.79
127,38.957,1.37
128,39.058,2.20
130,37.008,0.62
131,38.175,0.79
